time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_x; acc_y; acc_z; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kal_wheel_x; kal_wheel_y; kal_wheel_heading; kal_acc_x; kal_acc_y; kal_acc_heading
0.016; 0; 0; 0; 0; 0; 0; 0.000124527; 0.00024006; 0.156368; 0.0072; -0.0072; 3.18784e-08; 1.65098e-10; 0.00517895; 0; 0; 0.00517895; 0; 0; 0.00505263; 0; 0; 0.00517895
0.032; 0; 0; 0; 0; 0; 0; 8.23988; 0.000221693; -0.0508856; 0.1044; 0.09; 0.00210944; 1.09248e-05; 0.00517895; 0.00199257; 1.03195e-05; 0.00517895; 0.00194398; 9.82227e-06; 0.00505263; 3.18784e-08; 1.65098e-10; 0.00517895
0.048; 0; 0; 0; 0; 0; 0; -4.39165; 0.000222643; 0.158528; 0.198; 0.1836; 0.00309461; 1.6027e-05; 0.00517895; 0.00391135; 2.02568e-05; 0.00517895; 0.00381595; 1.92808e-05; 0.00505263; 0.00210944; 1.09248e-05; 0.00517895
0.064; 0; 0; 0; 0; 0; 0; 4.75242; 0.000172079; 0.125114; 0.3096; 0.3132; 0.0052964; 1.31762e-05; -0.00129474; 0.00638361; 3.30607e-05; -0.00129474; 0.00622795; 2.38509e-05; 6.28192; 0.00309461; 1.6027e-05; -0.00129474
0.08; 0; 0; 0; 0; 0; 0; 0.128264; 0.000164018; 0.180612; 0.4068; 0.4032; 0.00753104; 1.60695e-05; 0.00129474; 0.00830241; 3.05764e-05; 0.00129474; 0.00809995; 2.38509e-05; 0.00126316; 0.00529639; 1.95539e-05; 0.00129474
0.096; 0; 0; 0; 0; 0; 0; 0.0894293; 0.000116067; 0.183044; 0.5112; 0.5148; 0.00978856; 1.31466e-05; -0.00129474; 0.0105164; 3.34429e-05; -0.00129474; 0.0102599; 2.38509e-05; 6.28192; 0.00753101; 2.31234e-05; -0.00129474
0.112; 0; 0; 0; 0; 0; 0; 0.0502265; 0.000107451; 0.183147; 0.612; 0.5976; 0.0120589; 2.49047e-05; 0.00517895; 0.0123983; 3.10063e-05; 0.00517895; 0.0120959; 2.73296e-05; 0.00505263; 0.00978852; 2.66632e-05; 0.00517895
0.128; 0; 0; 0; 0; 0; 0; 0.010329; 0.000100109; 0.1831; 0.702; 0.7128; 0.0143319; 1.60758e-05; -0.00388421; 0.0145016; 4.18992e-05; -0.00388421; 0.0141479; 2.86256e-05; 6.2794; 0.0120589; 3.02697e-05; -0.00388421
0.144; 0; 0; 0; 0; 0; 0; -0.0296756; 9.3785e-05; 0.18288; 0.8028; 0.81; 0.0165974; 1.02095e-05; -0.00258947; 0.0165311; 3.40162e-05; -0.00258947; 0.0161279; 2.2373e-05; 6.28066; 0.0143319; 3.38658e-05; -0.00258947
0.16; 0; 0; 0; 0; 0; 0; -0.0294511; 0.000113586; 0.182013; 0.9036; 0.8892; 0.0188552; 2.1903e-05; 0.00517895; 0.0183761; 2.92386e-05; 0.00517895; 0.0179279; 2.46467e-05; 0.00505263; 0.0165973; 3.74816e-05; 0.00517895
0.176; 0; 0; 0; 0; 0; 0; -0.0287113; 5.61532e-05; 0.179636; 1.0116; 1.008; 0.0211058; 2.48169e-05; 0.00129474; 0.0207007; 4.12781e-05; 0.00129474; 0.0201959; 3.18088e-05; 0.00126316; 0.0188552; 4.10584e-05; 0.00129474
