time;true_x_rob0; true_y_rob0; true_heading_rob0
0;-2.9; 1.14189e-12; -1.5708
0.016;-2.89799; 6.4079e-09; -1.5712
0.032;-2.89716; 1.33525e-08; -1.5709
0.048;-2.89515; 1.86592e-08; -1.57087
0.064;-2.89314; 2.13578e-08; -1.57084
0.08;-2.89113; 1.26154e-08; -1.57081
0.096;-2.88912; -6.77175e-09; -1.57079
0.112;-2.88711; -3.59132e-08; -1.57078
0.128;-2.8851; -7.38269e-08; -1.57078
0.144;-2.88309; -1.12739e-07; -1.57077
0.16;-2.88108; -1.65206e-07; -1.57077
0.176;-2.87907; -2.22665e-07; -1.57077
0.192;-2.87706; -2.83839e-07; -1.57077
0.208;-2.87505; -3.47394e-07; -1.57077
0.224;-2.87304; -4.11938e-07; -1.57077
0.24;-2.87103; -4.76365e-07; -1.57077
0.256;-2.86902; -5.40297e-07; -1.57077
0.272;-2.86701; -6.03401e-07; -1.57077
0.288;-2.865; -6.65388e-07; -1.57077
0.304;-2.86299; -7.26006e-07; -1.57077
0.32;-2.86098; -7.85035e-07; -1.57077
0.336;-2.85897; -8.41905e-07; -1.57077
0.352;-2.85696; -8.95427e-07; -1.57077
0.368;-2.85495; -9.44449e-07; -1.57077
0.384;-2.85295; -9.87875e-07; -1.57078
0.4;-2.85094; -1.02468e-06; -1.57078
0.416;-2.84893; -1.05394e-06; -1.57079
0.432;-2.84692; -1.07481e-06; -1.57079
0.448;-2.84491; -1.08659e-06; -1.5708
0.464;-2.8429; -1.08867e-06; -1.5708
0.48;-2.84089; -1.08026e-06; -1.57081
0.496;-2.83888; -1.06175e-06; -1.57081
0.512;-2.83687; -1.03256e-06; -1.57082
0.528;-2.83486; -9.92644e-07; -1.57082
0.544;-2.83285; -9.42092e-07; -1.57083
0.56;-2.83084; -8.81149e-07; -1.57083
0.576;-2.82883; -8.10197e-07; -1.57084
0.592;-2.82682; -7.29758e-07; -1.57084
0.608;-2.82481; -6.40483e-07; -1.57084
0.624;-2.8228; -5.43147e-07; -1.57085
0.64;-2.82079; -4.38647e-07; -1.57085
0.656;-2.81878; -3.27985e-07; -1.57085
0.672;-2.81677; -2.12263e-07; -1.57085
0.688;-2.81476; -9.26699e-08; -1.57086
0.704;-2.81275; 2.95296e-08; -1.57086
0.72;-2.81074; 1.53008e-07; -1.57086
0.736;-2.80873; 2.76394e-07; -1.57086
0.752;-2.80672; 3.99286e-07; -1.57086
0.768;-2.80471; 5.21361e-07; -1.57086
0.784;-2.80271; 6.42337e-07; -1.57086
0.8;-2.8007; 7.61962e-07; -1.57086
0.816;-2.79869; 8.8002e-07; -1.57086
0.831999;-2.79668; 9.96189e-07; -1.57085
0.847999;-2.79467; 1.10932e-06; -1.57085
0.863999;-2.79266; 1.21825e-06; -1.57085
0.879999;-2.79065; 1.32187e-06; -1.57085
0.895999;-2.78864; 1.41913e-06; -1.57084
0.911999;-2.78663; 1.50909e-06; -1.57084
0.927999;-2.78462; 1.59087e-06; -1.57084
0.943999;-2.78261; 1.66374e-06; -1.57083
0.959999;-2.7806; 1.72706e-06; -1.57083
0.975999;-2.77859; 1.78033e-06; -1.57082
0.991999;-2.77658; 1.8232e-06; -1.57081
1.008;-2.77457; 1.85544e-06; -1.57081
1.024;-2.77256; 1.87696e-06; -1.5708
1.04;-2.77055; 1.88783e-06; -1.5708
1.056;-2.76854; 1.88824e-06; -1.57079
1.072;-2.76653; 1.87855e-06; -1.57079
1.088;-2.76452; 1.85924e-06; -1.57078
1.104;-2.76251; 1.83092e-06; -1.57078
1.12;-2.7605; 1.79433e-06; -1.57078
1.136;-2.75849; 1.75033e-06; -1.57077
1.152;-2.75648; 1.69991e-06; -1.57077
1.168;-2.75447; 1.64412e-06; -1.57077
1.184;-2.75247; 1.58414e-06; -1.57077
1.2;-2.75046; 1.5212e-06; -1.57077
1.216;-2.74845; 1.45662e-06; -1.57077
