time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kal_wheel_x; kal_wheel_y; kal_wheel_heading; kal_acc_x; kal_acc_y; kal_acc_heading
0.016; 0; 0; 0; 0; 0; 0; 0.000175566; 0.00779269; 9.78579; 0.0072; -0.0072; 3.18784e-08; 1.4726e-10; 0.00517895; 0; 0; 0.00517895; 0; 0; 0.00517895; 0; 0; 0.00517895
0.032; 0; 0; 0; 0; 0; 0; 0.000157199; 8.24754; 9.57853; 0.1044; 0.09; 0.00210944; 4.17429e-10; 0.00517895; 0.00199257; 1.03195e-05; 0.00517895; 0.00199257; 1.03195e-05; 0.00517895; 3.18788e-08; -2.84345e-08; 0.00517895
0.048; 0; 0; 0; 0; 0; 0; 0.000158149; -4.38398; 9.78795; 0.198; 0.1836; 0.00309461; 8.11768e-10; 0.00517895; 0.00391135; 2.02568e-05; 0.00517895; 0.00391135; 2.02568e-05; 0.00517895; 0.00210947; -8.06016e-08; 0.00517895
0.064; 0; 0; 0; 0; 0; 0; 0.000107586; 4.76009; 9.75453; 0.3096; 0.3132; 0.00529639; 1.19182e-09; -0.00129474; 0.00638361; 3.30607e-05; -0.00129474; 0.00638362; 9.05346e-06; -0.00129474; 0.00309465; -1.56744e-07; -0.00129474
0.08; 0; 0; 0; 0; 0; 0; 9.95245e-05; 0.135932; 9.81003; 0.4068; 0.4032; 0.00753101; 1.58349e-09; 0.00129474; 0.00830241; 3.05764e-05; 0.00129474; 0.00830242; 1.40221e-05; 0.00129474; 0.00529645; -2.43919e-07; 0.00129474
0.096; 0; 0; 0; 0; 0; 0; 5.15729e-05; 0.0970974; 9.81246; 0.5112; 0.5148; 0.00978852; 1.97944e-09; -0.00129474; 0.0105164; 3.34429e-05; -0.00129474; 0.0105164; 8.28905e-06; -0.00129474; 0.00753108; -3.40061e-07; -0.00129474
0.112; 0; 0; 0; 0; 0; 0; 4.29571e-05; 0.0578946; 9.81257; 0.612; 0.5976; 0.0120589; 2.34683e-09; 0.00517895; 0.0123983; 3.10063e-05; 0.00517895; 0.0123982; 2.41265e-05; 0.00517895; 0.00978861; -4.32895e-07; 0.00517895
0.128; 0; 0; 0; 0; 0; 0; 3.56148e-05; 0.0179972; 9.81252; 0.702; 0.7128; 0.0143319; 2.74295e-09; -0.00388421; 0.0145016; 4.18992e-05; -0.00388421; 0.0145015; 6.42581e-06; -0.00388421; 0.012059; -5.20216e-07; -0.00388421
0.144; 0; 0; 0; 0; 0; 0; 2.92912e-05; -0.0220075; 9.8123; 0.8028; 0.81; 0.0165973; 3.16239e-09; -0.00258947; 0.0165311; 3.40162e-05; -0.00258947; 0.016531; 2.48431e-06; -0.00258947; 0.014332; -6.00145e-07; -0.00258947
0.16; 0; 0; 0; 0; 0; 0; 4.90925e-05; -0.0217829; 9.81143; 0.9036; 0.8892; 0.0188552; 3.56142e-09; 0.00517895; 0.0183761; 2.92386e-05; 0.00517895; 0.0183759; 1.92056e-05; 0.00517895; 0.0165975; -6.71061e-07; 0.00517895
0.176; 0; 0; 0; 0; 0; 0; -8.34056e-06; -0.0210432; 9.80906; 1.0116; 1.008; 0.0211057; 3.93631e-09; 0.00129474; 0.0207007; 4.12781e-05; 0.00129474; 0.0207006; 1.77007e-05; 0.00129474; 0.0188553; -7.38034e-07; 0.00129474
0.192; 0; 0; 0; 0; 0; 0; 1.65549e-05; -0.0198954; 9.81052; 1.098; 1.1016; 0.0233492; 4.32708e-09; -0.00129474; 0.0225457; 4.36668e-05; -0.00129474; 0.0225456; 1.29231e-05; -0.00129474; 0.0211059; -7.86362e-07; -0.00129474
0.208; 0; 0; 0; 0; 0; 0; 1.31769e-05; -0.018295; 9.81042; 1.206; 1.1916; 0.025586; 4.64982e-09; 0.00517895; 0.0245752; 4.10392e-05; 0.00517895; 0.024575; 3.00027e-05; 0.00517895; 0.0233494; -8.22417e-07; 0.00517895
0.224; 0; 0; 0; 0; 0; 0; 1.02126e-05; -0.016288; 9.81033; 1.3068; 1.2996; 0.0278167; 4.93658e-09; 0.00258947; 0.0267154; 5.21231e-05; 0.00258947; 0.0267152; 3.27737e-05; 0.00258947; 0.0255862; -8.45336e-07; 0.00258947
0.24; 0; 0; 0; 0; 0; 0; 7.64343e-06; -0.0139065; 9.81027; 1.3968; 1.3968; 0.0300419; 5.22334e-09; -1.77809e-17; 0.0286342; 5.70918e-05; -1.77809e-17; 0.028634; 3.02894e-05; -1.38778e-17; 0.0278169; -8.54358e-07; -1.77809e-17
0.256; 0; 0; 0; 0; 0; 0; 4.14274e-06; -0.0112029; 9.81022; 1.5192; 1.5084; 0.0322622; 5.45009e-09; 0.00388421; 0.0310327; 5.70918e-05; 0.00388421; 0.0310325; 4.42637e-05; 0.00388421; 0.0300421; -8.48827e-07; 0.00388421
0.272; 0; 0; 0; 0; 0; 0; -1.98523e-06; -0.00821345; 9.81018; 1.6128; 1.6236; 0.0344785; 5.74294e-09; -0.00388421; 0.0331729; 6.54048e-05; -0.00388421; 0.0331726; 2.76379e-05; -0.00388421; 0.0322625; -8.27846e-07; -0.00388421
0.288; 0; 0; 0; 0; 0; 0; -8.07269e-06; -0.0049846; 9.81015; 1.7064; 1.6992; 0.0366915; 5.98768e-09; 0.00258947; 0.0349072; 5.86684e-05; 0.00258947; 0.0349069; 3.77425e-05; 0.00258947; 0.0344788; -7.89846e-07; 0.00258947
