time;true_x_rob0; true_y_rob0; true_heading_rob0;true_x_rob1; true_y_rob1; true_heading_rob1;true_x_rob2; true_y_rob2; true_heading_rob2;true_x_rob3; true_y_rob3; true_heading_rob3;true_x_rob4; true_y_rob4; true_heading_rob4
0;-2.01744; 3.46818e-06; -1.57641;-1.86082; 0.100025; -1.50957;-1.86976; -0.100037; -1.58395;-1.88082; 0.200026; -1.50957;-1.88976; -0.200039; -1.58395
0.016;-2.01598; 1.29246e-05; -1.58153;-1.86082; 0.100055; -1.4386;-1.86976; -0.10002; -1.51303;-1.88082; 0.200056; -1.4386;-1.88976; -0.200021; -1.51303
0.032;-2.01452; 3.04159e-05; -1.58666;-1.86079; 0.100077; -1.36647;-1.86976; -0.100007; -1.44181;-1.88079; 0.200078; -1.36647;-1.88976; -0.200009; -1.44181
0.048;-2.01306; 5.58263e-05; -1.59179;-1.86077; 0.100091; -1.29416;-1.86972; -0.0999988; -1.369;-1.88077; 0.200092; -1.29416;-1.88972; -0.2; -1.369
0.064;-2.01156; 8.96541e-05; -1.59584;-1.86074; 0.100094; -1.22183;-1.86968; -0.100002; -1.41317;-1.88073; 0.200079; -1.34423;-1.88939; -0.200075; -1.30967
0.08;-2.01007; 0.000129642; -1.59988;-1.86072; 0.100089; -1.14957;-1.86968; -0.0999941; -1.48534;-1.88073; 0.20009; -1.41647;-1.88894; -0.20021; -1.25471
0.096;-2.00858; 0.000175746; -1.60392;-1.86075; 0.100078; -1.07738;-1.86968; -0.0999814; -1.55739;-1.88073; 0.200107; -1.48856;-1.88849; -0.200366; -1.19997
0.112;-2.00709; 0.00022793; -1.60795;-1.86074; 0.100065; -1.00474;-1.86969; -0.099972; -1.62971;-1.88077; 0.200126; -1.56197;-1.88806; -0.200545; -1.14541
0.128;-2.00557; 0.000287066; -1.61111;-1.86066; 0.100026; -0.93239;-1.86974; -0.0999686; -1.70899;-1.88067; 0.200133; -1.63261;-1.88746; -0.200831; -1.09792
0.144;-2.00405; 0.000350904; -1.61425;-1.86056; 0.0999589; -0.858428;-1.86974; -0.0999781; -1.79331;-1.88049; 0.200141; -1.70629;-1.88679; -0.201191; -1.05376
0.16;-2.00254; 0.000419436; -1.6174;-1.86043; 0.0998504; -0.782422;-1.86974; -0.0999872; -1.87712;-1.88028; 0.200164; -1.78155;-1.88613; -0.201593; -1.01027
0.176;-2.00102; 0.000492667; -1.62054;-1.8603; 0.0997317; -0.706598;-1.86975; -0.0999962; -1.96054;-1.88008; 0.200206; -1.85661;-1.88548; -0.202022; -0.966848
0.192;-1.99949; 0.000571183; -1.62326;-1.8599; 0.099246; -0.650278;-1.86966; -0.0999681; -2.03974;-1.87951; 0.20038; -1.91514;-1.88473; -0.202567; -0.929037
0.208;-1.99796; 0.000653749; -1.62597;-1.85959; 0.0988141; -0.598127;-1.86958; -0.0999151; -2.1188;-1.87906; 0.200639; -1.96906;-1.88393; -0.203182; -0.893873
0.224;-1.99644; 0.000740376; -1.62868;-1.8593; 0.0983811; -0.545632;-1.86951; -0.0998729; -2.19773;-1.87852; 0.20088; -2.02787;-1.88315; -0.203835; -0.85932
0.24;-1.99491; 0.000831078; -1.6314;-1.85893; 0.0979016; -0.494727;-1.86944; -0.0998261; -2.27661;-1.87799; 0.201151; -2.0867;-1.88238; -0.204514; -0.824778
0.256;-1.99336; 0.000926991; -1.63344;-1.85853; 0.0971567; -0.453987;-1.86905; -0.0994945; -2.33789;-1.8772; 0.201615; -2.13184;-1.88155; -0.205306; -0.794844
0.272;-1.99182; 0.00102593; -1.63548;-1.85818; 0.0963959; -0.41326;-1.86878; -0.0992154; -2.39475;-1.87642; 0.202119; -2.17713;-1.88069; -0.206173; -0.767518
0.288;-1.99027; 0.00112791; -1.63752;-1.85784; 0.0955763; -0.374311;-1.86853; -0.0989332; -2.45194;-1.87567; 0.202658; -2.2225;-1.87985; -0.207063; -0.740171
0.304;-1.98872; 0.00123295; -1.63956;-1.85751; 0.0946989; -0.337094;-1.8683; -0.0986405; -2.50909;-1.87494; 0.203233; -2.26801;-1.87903; -0.207975; -0.712798
0.32;-1.98716; 0.00134215; -1.64104;-1.85722; 0.0938219; -0.305266;-1.86794; -0.0981439; -2.55778;-1.87403; 0.204019; -2.30152;-1.87817; -0.208998; -0.689621
0.336;-1.9856; 0.00145352; -1.64251;-1.85695; 0.0929374; -0.27339;-1.86759; -0.0976314; -2.60649;-1.87314; 0.204835; -2.33507;-1.87729; -0.210083; -0.668358
0.352;-1.98404; 0.00156709; -1.64399;-1.85671; 0.0920448; -0.241459;-1.86724; -0.0971042; -2.65522;-1.87227; 0.205679; -2.36867;-1.87643; -0.211186; -0.647076
0.368;-1.98248; 0.00168288; -1.64546;-1.85651; 0.0911455; -0.209473;-1.86689; -0.0965634; -2.70401;-1.87144; 0.206552; -2.40233;-1.8756; -0.212306; -0.625776
0.384;-1.98091; 0.00180104; -1.64687;-1.85642; 0.0906843; -0.170968;-1.86672; -0.0961512; -2.7602;-1.87048; 0.207636; -2.42528;-1.87471; -0.213557; -0.6094
0.4;-1.97935; 0.00192135; -1.64828;-1.85637; 0.0903121; -0.135683;-1.8666; -0.0958334; -2.82145;-1.86957; 0.208715; -2.44673;-1.87382; -0.214852; -0.594308
0.416;-1.97779; 0.0020438; -1.64969;-1.85632; 0.0899401; -0.100418;-1.86651; -0.0955116; -2.88291;-1.86864; 0.20984; -2.46979;-1.87295; -0.21616; -0.579211
